bn:00000219n;Abasia;aboulia_104.76;astasia_75.82;astasis_73.34;patient_65.29;abasia_60.34;astasia-abasia_26.97;symptom_22.66;inability_19.43;muscle_18.93
bn:00000224n;Nuisance abatement;motel_320.02;bylaw_114.2;enforcement_69.17;asbestos_68.37;nuisance abatement_58.43;peace officer_40.54;chain_38.09;hotel_30.95;officer_30.09
bn:00000225n;Abatis;abatis_186.14;fortification_82.05;confederate_60.01;fort_58.33;obstacle_54.66;siege_43.44;battle_38.84;british_36.82;force_33.37
bn:00000227n;Slaughterhouse;meat_1268.8;slaughter_1260.43;animal_1097.29;slaughterhouse_408.82;cattle_380.9;cow_365.75;horse_349.77;food_233.15;beef_228.07
bn:00000228n;Abaya;woman_497.72;wear_347.34;saudi_321.83;saudi arabia_292.09;chaplain_163.8;bahrain_145.03;religious_140.5;hijab_132.35;abaya_132.27
bn:00000233n;Abbess;abbess_714.1;nun_475.81;abbey_456.47;monastery_312.89;abbot_253.72;brigit_231.36;abelard_154.83;brigid_143.59;convent_137.32
bn:00000234n;Abbey;abbey_1825.95;monastery_1267.1;monk_783.11;abbot_627.87;church_313.94;cloister_262.54;monastic_256.93;benedictine_205.41;cistercian_188.92
bn:00000237n;Archimandrite;abbot_1278.84;abbey_500.7;monastery_374.83;monk_335.55;cluny_136.0;archimandrite_105.84;monastic_105.66;bishop_87.17;appenzell_84.88
bn:00000238n;Abbott Lawrence Lowell;lowell_815.22;harvard_683.75;conant_191.26;sacco_172.07;vanzetti_170.7;student_128.37;abbott lawrence lowell_112.7;boston_107.23;putnam_92.86
bn:00000239n;Abbreviation;abbreviation_721.63;word_609.96;apostrophe_569.77;letter_509.16;acronym_331.18;use_330.9;vowel_241.13;e.g._210.71;example_205.67
bn:00000242n;ABC (programming language);alphabet_2015.1;letter_1849.73;vowel_1429.95;consonant_772.26;script_722.58;language_445.81;word_393.86;phoneme_367.25;diacritic_366.79
bn:00000243n;Abcoulomb;abampere_54.31;abcoulomb_38.47;charge_36.29;coulomb_23.82;one_18.97;electromagnetic unit_15.59;unit_15.55;cgs_15.48;electromagnetic_12.3
bn:00000244n;Obadiah (1 Kings);elijah_674.7;prophet_334.87;god_143.2;ahab_105.4;elias_71.5;obadiah_58.6;prophecy_46.48;baal_41.28;prophetic_38.0
bn:00000245n;Obadiah;prophet_593.29;obadiah_294.33;god_293.78;jacob_218.88;bible_214.08;hebrew_197.42;esau_195.55;son_164.63;jeremiah_158.52
bn:00000246n;Abdication;king_510.21;monarch_454.55;monarchy_401.37;throne_266.88;abdicate_265.0;domitian_252.26;emperor_245.92;abdication_216.62;reign_160.08
bn:00000249n;Abdomen;abdomen_534.65;muscle_288.56;abdominal_234.88;pelvis_124.33;abdominal wall_110.5;spider_97.06;thorax_91.78;organ_91.07;anterior_86.19
bn:00000250n;Abdominal cavity;liver_322.71;abdominal cavity_200.26;peritoneum_181.23;abdominal_181.12;abdomen_175.6;stomach_155.65;surgery_141.66;organ_136.87;pancreas_133.22
bn:00000252n;Abdominal aorta;aorta_292.86;abdominal aorta_198.88;artery_198.58;aneurysm_158.88;branch_149.35;kidney_137.25;duodenum_122.74;a._88.62;testis_88.35
bn:00000253n;Diaphragmatic breathing;ventilation_218.9;breathing_161.65;diaphragm_128.0;air_110.52;uan_100.06;rib_84.93;anxiety_78.78;myoclonus_69.0;panic attack_66.64
